Feature ID,Area / Module,Feature Name,Feature Type,Code Location,Related Route / Screen / Endpoint,User Story,Expected Behavior Based on Code,Test Steps,Test Data Needed,Current Status,Initial Test Result,Error / Bug Found,Severity,UX / Workflow Impact,Root Cause,Fix Summary,Files Changed,Retest Steps,Retest Result,Final Status,Notes
F-001,Backend API,Health check,Endpoint,backend/app/main.py,GET /health,As a developer I want a health endpoint so that I can confirm the backend is alive,Returns status ok JSON,Call GET /health with TestClient,None,Retested - Pass,Added endpoint smoke test passes,None,Test Coverage,N/A,N/A,Added direct coverage,tests/test_pipeline.py,Run pytest,36 passed,Retested - Pass,N/A
F-002,Backend API,Project list,Endpoint,backend/app/main.py; backend/app/database.py,GET /projects,As a reviewer I want to list projects so that I can reopen prior drawing reviews,Returns enriched projects with AI-only finding counts,Run project workflow tests,Sample project,Tested - Pass,Existing tests pass,None,Test Coverage,N/A,N/A,N/A,N/A,Run pytest,36 passed,Retested - Pass,N/A
F-003,Backend API,PDF project upload,Endpoint,backend/app/main.py; backend/app/services/pdf_processor.py,POST /projects,As a reviewer I want to upload a PDF drawing package so that AutoQC can extract pages,Creates project and processes sheets when auto_review is true,Upload synthetic PDF via TestClient,Synthetic PDF,Tested - Pass,Existing upload test passes,None,Test Coverage,N/A,N/A,N/A,N/A,Run pytest,36 passed,Retested - Pass,N/A
F-004,Backend API,Invalid upload rejection,Validation,backend/app/main.py; backend/app/services/pdf_processor.py,POST /projects,As a reviewer I want bad uploads rejected clearly so that I do not proceed with invalid files,Non-PDF upload returns 400 with clear message,Upload text file as project file,Bad txt file,Tested - Pass,Existing invalid upload test passes,None,Test Coverage,N/A,N/A,N/A,N/A,Run pytest,36 passed,Retested - Pass,N/A
F-005,Backend API,Sample project creation,Endpoint,backend/app/main.py; backend/app/sample_pdf.py,POST /sample-project,As a reviewer I want a sample project so that I can try the app without my own PDF,Creates synthetic sample and processes sheets,Call sample endpoint and inspect adjacent APIs,Built-in sample,Retested - Pass,Existing tests and added endpoint smoke test pass,None,Test Coverage,N/A,N/A,Added adjacent endpoint coverage,tests/test_pipeline.py,Run pytest,109 passed,Retested - Pass,N/A
F-006,Backend API,Project detail,Endpoint,backend/app/main.py; backend/app/database.py,GET /projects/{project_id},As a reviewer I want project details so that the UI can show current counts,Returns enriched project or 404 for missing project,Fetch project after upload or sample,Sample project,Tested - Pass,Existing workflow tests pass,None,Test Coverage,N/A,N/A,N/A,N/A,Run pytest,36 passed,Retested - Pass,N/A
F-007,Backend API,Project reprocess review,Endpoint,backend/app/main.py; backend/app/services/pdf_processor.py,POST /projects/{project_id}/review,As a reviewer I want to rerun extraction so that project metadata can be refreshed,Processes source PDF and preserves AI review edits,Run rerun preservation test,Sample PDF with AI finding,Tested - Pass,Existing rerun preservation test passes,None,Test Coverage,N/A,N/A,N/A,N/A,Run pytest,36 passed,Retested - Pass,N/A
F-008,Backend API,Sheet list,Endpoint,backend/app/main.py; backend/app/database.py,GET /projects/{project_id}/sheets,As a reviewer I want a sheet index so that I can navigate drawing pages,Returns enriched sheets with image URLs,Upload or sample project and list sheets,Synthetic PDF,Tested - Pass,Existing upload and pipeline tests pass,None,Test Coverage,N/A,N/A,N/A,N/A,Run pytest,36 passed,Retested - Pass,N/A
F-009,Backend API,Entity list,Endpoint,backend/app/main.py; backend/app/database.py,GET /projects/{project_id}/entities,As a reviewer I want extracted entities so that tags and references are inspectable,Returns extracted entity records or 404 for missing project,Create sample and call entities endpoint,Built-in sample,Retested - Pass,Added endpoint smoke test passes,None,Test Coverage,N/A,N/A,Added direct endpoint test,tests/test_pipeline.py,Run pytest,36 passed,Retested - Pass,N/A
F-010,Backend API,AI-only findings list,Endpoint,backend/app/main.py; backend/app/database.py,GET /projects/{project_id}/findings,As a reviewer I want to see AI-sourced findings only so that legacy rule rows do not clutter review,Returns findings filtered to source ai only,Seed AI and rules findings then call route,Mixed findings,Tested - Pass,Existing AI-only filtering test passes,None,Test Coverage,N/A,N/A,N/A,N/A,Run pytest,36 passed,Retested - Pass,N/A
